date,registration_base_eth,registration_premium_eth,registration_combined_legacy_eth,renewal_eth,total_revenue_eth,total_revenue_usd
2021-04-17,0.000000000000000000,0.000000000000000000,8.394064131012413788,0.285839916452736566,8.679904047465150354,20257.65
2021-04-18,0.000000000000000000,0.000000000000000000,6.436610989959684353,1.237669802056653984,7.674280792016338337,17211.81
2021-04-19,0.000000000000000000,0.000000000000000000,3.667122649018643401,2.156186619349142349,5.823309268367785750,12633.62
2021-04-20,0.000000000000000000,0.000000000000000000,3.341407569605808783,0.109720853828863902,3.451128423434672685,8032.81
2021-04-21,0.000000000000000000,0.000000000000000000,5.070078414568020548,1.046049251470411638,6.116127666038432186,14517.36
2021-04-22,0.000000000000000000,0.000000000000000000,6.565369110292317105,3.309593574035228332,9.874962684327545437,23835.49
2021-04-23,0.000000000000000000,0.000000000000000000,6.682519875407974370,1.584799630982851741,8.267319506390826111,19545.84
2021-04-24,0.000000000000000000,0.000000000000000000,7.200399692327140692,20.010422241022858199,27.210821933349998891,60479.56
2021-04-25,0.000000000000000000,0.000000000000000000,14.554605204002212813,4.877586492046464852,19.432191696048677665,44772.93
2021-04-26,0.000000000000000000,0.000000000000000000,10.773468341830347821,5.916463886641257469,16.689932228471605290,42212.85
2021-04-27,0.000000000000000000,0.000000000000000000,11.262610267102044308,1.805364508861212422,13.067974775963256730,34608.14
2021-04-28,0.000000000000000000,0.000000000000000000,8.598759779923252556,2.003141700858889150,10.601901480782141706,29120.06
2021-04-29,0.000000000000000000,0.000000000000000000,6.195097632078585066,2.701455029941491102,8.896552662020076168,24556.13
2021-04-30,0.000000000000000000,0.000000000000000000,6.659501097087465559,3.435412662608821434,10.094913759696286993,28008.24
2021-05-01,0.000000000000000000,0.000000000000000000,11.945972839898162792,3.514302163735370555,15.460275003633533347,45557.71
2021-05-02,0.000000000000000000,0.000000000000000000,8.942465859859024218,4.841567639342239673,13.784033499201263891,40718.74
2021-05-03,0.000000000000000000,0.000000000000000000,6.302572400068119104,3.898224474966224721,10.200796875034343825,35051.29
2021-05-04,0.000000000000000000,0.000000000000000000,6.970594498539189472,3.076471142392070341,10.047065640931259813,32625.59
2021-05-05,0.000000000000000000,0.000000000000000000,8.397669934198789623,1.507533664958686605,9.905203599157476228,34872.26
2021-05-06,0.000000000000000000,0.000000000000000000,6.553510726477449995,8.385016032343973731,14.938526758821423726,52233.89
2021-05-07,0.000000000000000000,0.000000000000000000,4.508150498605058318,0.581035199316200252,5.089185697921258570,17763.09
2021-05-08,0.000000000000000000,0.000000000000000000,2.488075616427010328,1.399998027539759225,3.888073643966769553,15176.50
2021-05-09,0.000000000000000000,0.000000000000000000,3.842611790178000680,0.199554833077996726,4.042166623255997406,15859.58
2021-05-10,0.000000000000000000,0.000000000000000000,3.197377014337453830,0.316515764849472769,3.513892779186926599,13939.33
2021-05-11,0.000000000000000000,0.000000000000000000,2.030287898184339473,0.010204590179257992,2.040492488363597465,8519.48
2021-05-12,0.000000000000000000,0.000000000000000000,2.871794914813893551,0.404916971329701417,3.276711886143594968,12710.45
2021-05-13,0.000000000000000000,0.000000000000000000,2.829418385852810419,0.411635668137228283,3.241054053990038702,12091.63
2021-05-14,0.000000000000000000,0.000000000000000000,4.347887009898789416,0.128394021134721913,4.476281031033511329,18279.48
2021-05-15,0.000000000000000000,0.000000000000000000,4.179004788836864305,4.739636792082626536,8.918641580919490841,32602.36
2021-05-16,0.000000000000000000,0.000000000000000000,6.116924667241152484,0.600594798810536697,6.717519466051689181,24052.82
2021-05-17,0.000000000000000000,0.000000000000000000,4.549852406386926178,1.231080277636752333,5.780932684023678511,18991.90
2021-05-18,0.000000000000000000,0.000000000000000000,13.932858079622602099,0.871152337006889613,14.804010416629491712,50148.81
2021-05-19,0.000000000000000000,0.000000000000000000,3.733463551214002884,0.222907218621452435,3.956370769835455319,9766.84
2021-05-20,0.000000000000000000,0.000000000000000000,7.342644234939322600,0.240756915454499688,7.583401150393822288,21068.48
2021-05-21,0.000000000000000000,0.000000000000000000,4.378324645231883676,0.766964630095122032,5.145289275327005708,12487.21
2021-05-22,0.000000000000000000,0.000000000000000000,6.933366819596709917,1.413013271841418650,8.346380091438128567,19227.71
2021-05-23,0.000000000000000000,0.000000000000000000,4.595661323746221279,1.900470317427749496,6.496131641173970775,13751.94
2021-05-24,0.000000000000000000,0.000000000000000000,6.403571623833155120,0.616890944781784645,7.020462568614939765,18511.84
2021-05-25,0.000000000000000000,0.000000000000000000,7.218562826560596182,1.467093434835928626,8.685656261396524808,23345.11
2021-05-26,0.000000000000000000,0.000000000000000000,5.660047270588222157,1.613821506086410220,7.273868776674632377,20906.08
2021-05-27,0.000000000000000000,0.000000000000000000,6.567071266035158418,1.933915494987355111,8.500986761022513529,23375.74
2021-05-28,0.000000000000000000,0.000000000000000000,6.011887781313187831,1.341652672337969996,7.353540453651157827,17828.84
2021-05-29,0.000000000000000000,0.000000000000000000,7.757619427144626619,1.105433270595744550,8.863052697740371169,20212.16
2021-05-30,0.000000000000000000,0.000000000000000000,8.597819523667364852,6.083520033968969996,14.681339557636334848,35097.63
2021-05-31,0.000000000000000000,0.000000000000000000,6.350962615422685002,1.501094013805055971,7.852056629227740973,21272.74
2021-06-01,0.000000000000000000,0.000000000000000000,9.974600062343078242,0.733717347737061177,10.708317410080139419,28151.81
2021-06-02,0.000000000000000000,0.000000000000000000,5.134398682474626539,1.801798077047259275,6.936196759521885814,18837.67
2021-06-03,0.000000000000000000,0.000000000000000000,6.554905155179214446,0.690618600590612926,7.245523755769827372,20707.86
2021-06-04,0.000000000000000000,0.000000000000000000,6.037839519260606199,1.358805756904643195,7.396645276165249394,19921.68
2021-06-05,0.000000000000000000,0.000000000000000000,7.791123835088131241,1.740743197264634704,9.531867032352765945,24980.18
2021-06-06,0.000000000000000000,0.000000000000000000,10.890064027230434668,2.730222812803867989,13.620286840034302657,36933.35
2021-06-07,0.000000000000000000,0.000000000000000000,16.679080273845379940,2.917221722861491634,19.596301996706871574,50694.26
2021-06-08,0.000000000000000000,0.000000000000000000,14.087877297564873032,5.539510546075547980,19.627387843640421012,49349.01
2021-06-09,0.000000000000000000,0.000000000000000000,14.903553146811691966,0.883997429216324046,15.787550576028016012,41211.79
