date,source,currency,revenue_wei,revenue_eth,event_count,duration_seconds,reported_renewal_cost_wei,renewal_overstatement_wei,coverage
2019-01-19,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-19,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-19,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-19,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-01-20,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-20,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-20,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-20,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-01-21,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-21,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-21,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-21,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-01-22,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-22,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-22,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-22,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-01-23,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-23,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-23,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-23,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-01-24,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-24,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-24,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-24,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-01-25,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-25,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-25,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-25,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-01-26,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-26,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-26,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-26,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-01-27,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-27,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-27,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-27,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-01-28,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-28,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-28,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-28,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-01-29,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-29,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-29,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-29,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-01-30,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-30,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-30,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-30,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-01-31,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-31,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-31,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-01-31,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-01,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-01,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-01,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-01,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-02,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-02,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-02,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-02,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-03,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-03,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-03,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-03,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-04,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-04,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-04,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-04,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-05,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-05,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-05,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-05,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-06,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-06,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-06,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-06,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-07,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-07,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-07,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-07,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-08,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-08,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-08,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-08,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-09,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-09,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-09,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-09,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-10,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-10,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-10,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-10,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-11,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-11,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-11,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-11,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-12,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-12,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-12,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-12,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-13,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-13,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-13,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-13,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-14,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-14,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-14,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-14,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-15,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-15,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-15,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-15,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-16,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-16,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-16,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-16,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-17,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-17,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-17,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-17,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-18,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-18,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-18,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-18,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-19,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-19,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-19,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-19,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-20,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-20,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-20,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-20,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-21,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-21,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-21,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-21,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-22,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-22,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-22,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-22,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-23,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-23,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-23,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-23,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-24,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-24,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-24,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-24,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-25,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-25,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-25,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-25,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-26,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-26,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-26,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-26,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-27,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-27,registration_combined_legacy,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-27,registration_premium,ETH,0,0.000000000000000000,0,0,,,complete_day
2019-02-27,renewal,ETH,0,0.000000000000000000,0,0,0,0,complete_day
2019-02-28,registration_base,ETH,0,0.000000000000000000,0,0,,,complete_day
