date,registration_count,registration_duration_seconds,renewal_count,renewal_duration_seconds
2019-07-10,32,1335761928,11,428945976
2019-07-11,32,2082773736,1,126227808
2019-07-12,32,1104494616,2,160938360
2019-07-13,22,1072944792,6,189341712
2019-07-14,97,3565989360,4,126227808
2019-07-15,42,1546292592,0,0
2019-07-16,58,2082784104,0,0
2019-07-17,33,1072938312,2,126227808
2019-07-18,100,3408123816,0,0
2019-07-19,40,1672519104,1,315569520
2019-07-20,49,1861871184,0,0
2019-07-21,199,6311513520,5,788923800
2019-07-22,49,1578186504,1,31556952
2019-07-23,95,3376549584,3,157784760
2019-07-24,34,1672985016,2,94628952
2019-07-25,27,946774008,0,0
2019-07-26,69,2366887176,1,157784760
2019-07-27,191,6690167784,2,94670856
2019-07-28,73,2366751744,2,126227808
2019-07-29,24,1388065896,1,63072000
2019-07-30,14,504807120,1,94608000
2019-07-31,29,1167607224,0,0
2019-08-01,27,852199272,1,63113904
2019-08-02,9,504828072,10,694252944
2019-08-03,8,788924448,0,0
2019-08-04,16,1135925208,7,347126472
2019-08-05,22,852039648,2,63113904
2019-08-06,21,1105344144,1,63113904
2019-08-07,31,1102066162,0,0
2019-08-08,13,536535576,2,63113904
2019-08-09,16,662633136,0,0
2019-08-10,38,1388406960,0,0
2019-08-11,30,1135800144,1,63113904
2019-08-12,46,2240260632,4,189341712
2019-08-13,60,2177034192,1,31556952
2019-08-14,43,2019521808,0,0
2019-08-15,26,1041065136,1,63072000
2019-08-16,38,1672403760,2,126227808
2019-08-17,31,1545959304,2,63113904
2019-08-18,15,599351616,0,0
2019-08-19,35,1451271384,0,0
2019-08-20,27,1167577632,1,315569520
2019-08-21,25,1104291576,1,31536000
2019-08-22,28,978079536,1,31556952
2019-08-23,77,2619155304,0,0
2019-08-24,22,1104241896,0,0
2019-08-25,36,1798160256,2,946708560
2019-08-26,42,1514638008,1,31556952
2019-08-27,78,3124036512,3,126227808
2019-08-28,120,3944580552,1,31556952
2019-08-29,71,2808597888,0,0
2019-08-30,17,725748984,2,126227808
2019-08-31,146,4891310496,0,0
2019-09-01,49,2556126072,1,63113904
2019-09-02,63,2366760816,0,0
2019-09-03,22,915046848,1,157784760
2019-09-04,64,2429844048,0,0
2019-09-05,35,1640962800,1,157784760
2019-09-06,33,1104474960,2,78892380
2019-09-07,15,1041379416,0,0
2019-09-08,39,1293814728,0,0
2019-09-09,32,1043808394,0,0
2019-09-10,42,1640964096,0,0
2019-09-11,14,504869328,3,189341712
2019-09-12,27,1009823112,13,1451619792
2019-09-13,39,1231027416,5,315569520
2019-09-14,75,2840388768,1,157784760
2019-09-15,68,2303657496,1,63072000
2019-09-16,46,1924975368,2,252455616
2019-09-17,16,1167579576,1,31556952
2019-09-18,20,633834882,0,0
2019-09-19,18,725809896,2,63113904
2019-09-20,39,1514733696,0,0
2019-09-21,11,378685368,0,0
2019-09-22,22,757368792,1,31556952
2019-09-23,32,1199167416,0,0
2019-09-24,31,1451620440,19,662695992
2019-09-25,16,504911232,0,0
2019-09-26,52,1640961504,2,94670856
2019-09-27,25,946753704,0,0
2019-09-28,18,1420034544,2,157784760
2019-09-29,73,2903239584,2,220898664
2019-09-30,161,12338769528,22,2335214448
2019-10-01,349,11676072240,2,189341712
2019-10-02,161,6153609528,15,1167607224
2019-10-03,155,5175343368,1,189341712
2019-10-04,99,3944621592,1,15778476
2019-10-05,74,2619228960,3,410240376
2019-10-06,108,3565939464,0,0
2019-10-07,104,3913067232,0,0
2019-10-08,80,3029468688,10,210379680
2019-10-09,63,2208946680,1,315569520
2019-10-10,77,3376608768,5,220898664
2019-10-11,62,2051270568,1,94670856
2019-10-12,92,2903244120,88,4386416328
2019-10-13,81,2619228960,2,252455616
2019-10-14,54,1861860816,4,378683424
2019-10-15,57,2019644928,2,126227808
2019-10-16,94,3786834888,2,378683424
2019-10-17,122,4449491568,2,63113904
2019-10-18,161,5735320754,4,504911232
2019-10-19,215,6942530088,10,599582088
2019-10-20,150,5412021804,9,1072936368
2019-10-21,166,5522470488,2,946708560
2019-10-22,204,9372416688,7,346979808
2019-10-23,177,6437600496,1,126227808
2019-10-24,129,4607320824,1,94670856
2019-10-25,134,4765100400,5,262974600
2019-10-26,109,3629052072,3,284012568
2019-10-27,98,3376595808,2,220898664
2019-10-28,101,3597494472,4,883594656
2019-10-29,120,4954452480,0,0
2019-10-30,97,5175356328,14,2492999208
2019-10-31,84,2934797832,0,0
2019-11-01,87,3659989536,3,410240376
2019-11-02,70,2808590112,0,0
2019-11-03,106,4070856528,0,0
2019-11-04,72,2650744008,3,94670856
2019-11-05,71,2729682828,5,410240376
2019-11-06,1320,43169850720,70,10571537016
2019-11-07,1988,66048596424,16,2398328352
2019-11-08,893,32474696256,10,1136050272
2019-11-09,744,24844880142,9,568025136
2019-11-10,582,21131428808,213,7510554576
2019-11-11,688,32579820810,9,915151608
2019-11-12,832,30678439932,25,1767189312
2019-11-13,814,32187969216,3,252455616
2019-11-14,586,22536507420,6,568025136
2019-11-15,513,17703452016,9,631139040
2019-11-16,399,13442180336,11,536468184
2019-11-17,218,7983866952,1,315569520
2019-11-18,344,11802258792,4,252455616
2019-11-19,458,19281265488,8,441797328
2019-11-20,379,15431404608,7,694252944
2019-11-21,348,11549826720,2,94670856
2019-11-22,168,6122073960,1,31556952
2019-11-23,275,9372421872,1,31556952
2019-11-24,281,10413812952,1,63113904
2019-11-25,209,10224461520,1,126227808
2019-11-26,165,6437558592,1,284012568
2019-11-27,245,13885037928,29,3155695200
2019-11-28,209,8173250568,6,662695992
2019-11-29,191,8741286720,4,189341712
2019-11-30,181,7226542656,2,126227808
2019-12-01,189,6753201984,4,410240376
2019-12-02,240,9498643848,24,1136050272
2019-12-03,163,6437623392,3,126227808
2019-12-04,210,7510557168,0,0
2019-12-05,221,8362605888,10,820480752
2019-12-06,135,6690054816,8,883594656
2019-12-07,155,6279812496,6,378686016
2019-12-08,82,3534392880,2,94670856
2019-12-09,142,5617138752,2,157784760
2019-12-10,108,4954446000,1,94670856
2019-12-11,90,3534337368,2,94670856
2019-12-12,75,2713897872,12,694252944
2019-12-13,79,2713876920,8,915151608
2019-12-14,135,4765104936,2,189341712
2019-12-15,91,3439712304,0,0
2019-12-16,129,5143800672,1,31556952
2019-12-17,126,5838047784,20,1483176744
2019-12-18,105,4165517664,1,157784760
2019-12-19,158,5932714752,3,220898664
2019-12-20,72,3155654592,1,94670856
2019-12-21,48,1830305808,3,284012568
2019-12-22,64,2461442256,0,0
2019-12-23,112,4244411988,2,63113904
2019-12-24,66,2698121340,2,94670856
2019-12-25,105,3487043844,1,63113904
2019-12-26,104,3597492528,1,126227808
2019-12-27,138,4362749910,14,433908090
2019-12-28,109,4070846808,2,63113904
2019-12-29,83,3124138248,0,0
2019-12-30,100,3723720336,3,189341712
2019-12-31,120,4070848104,2,63113904
2020-01-01,59,3061034064,2,94670856
2020-01-02,153,5364682488,3,126227808
2020-01-03,112,5238457920,9,441797328
2020-01-04,85,3408156648,3,284012568
2020-01-05,64,3345003432,3,126227808
2020-01-06,81,4165538400,2,220898664
2020-01-07,147,6154279214,6,284012568
2020-01-08,93,3061007928,6,378683424
2020-01-09,124,4544201736,4,284012568
2020-01-10,108,4007732904,2,157784760
2020-01-11,91,3376593864,9,694252944
2020-01-12,68,2429888544,11,1167607224
2020-01-13,72,3187390563,3,94670856
2020-01-14,72,3597506784,8,536533632
2020-01-15,74,2776969872,1,31556952
2020-01-16,126,4717764972,2,189341712
2020-01-17,69,2461621490,9,410240376
2020-01-18,111,3755277936,123,3881505096
2020-01-19,199,6406159104,2,126227808
2020-01-20,148,5838064632,2,63113904
2020-01-21,153,5901184368,6,315569520
2020-01-22,61,2713897872,4,126227808
2020-01-23,80,3092583888,3,189341712
2020-01-24,124,4354885944,3,126227808
2020-01-25,44,3345076440,8,978265512
2020-01-26,25,915384342,1,63113904
2020-01-27,60,1956531024,0,0
2020-01-28,107,3913062696,4,252455616
2020-01-29,49,1640961504,5,252455616
2020-01-30,65,2493001152,13,410072760
2020-01-31,64,2650783968,26,852037704
2020-02-01,169,6784744680,57,1956531024
2020-02-02,151,4796658000,48,774771898
2020-02-03,34,2019645576,9,536468184
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,229,7542111528,6,189341712
2020-02-11,345,13380150240,51,3913062048
2020-02-12,126,5617036584,59,2335214448
2020-02-13,100,5049114912,20,2366771400
2020-02-14,99,4133969784,54,1893417120
2020-02-15,118,5206915872,10,347126472
2020-02-16,61,2556114408,22,1167607224
2020-02-17,122,9467151696,57,1988087976
2020-02-18,74,3376604880,14,2145872736
2020-02-19,96,4796657352,33,2335214448
2020-02-20,104,4575759336,15,631139040
2020-02-21,131,5585604480,4,126227808
2020-02-22,84,4165529328,29,1640961504
2020-02-23,102,5396264712,119,11991641760
2020-02-24,102,6374545128,122,14705539632
2020-02-25,83,4102407648,118,13064578128
2020-02-26,167,6816320424,154,17040754080
2020-02-27,122,4922885160,193,13948172784
2020-02-28,127,6311392344,51,2966353488
2020-02-29,105,4891340520,27,1262278080
2020-03-01,70,2587679784,70,2619227016
2020-03-02,116,5301579600,11,410240376
2020-03-03,97,3913067232,9,347126472
2020-03-04,98,3755280528,22,1009822464
2020-03-05,83,3061027584,23,1230721128
2020-03-06,72,2777015664,41,1325391984
2020-03-07,88,3092583888,15,820480752
2020-03-08,58,2808571320,6,504911232
2020-03-09,29,1341175644,6,189341712
2020-03-10,42,1861862112,7,946708560
2020-03-11,58,2272108320,8,2051201880
2020-03-12,10,315569520,90,2840125680
2020-03-13,24,757367496,209,6816008304
2020-03-14,39,1483012368,170,5427795744
2020-03-15,23,788925744,135,4260188520
2020-03-16,22,725810544,109,3439707768
2020-03-17,36,3629078640,321,10382237208
2020-03-18,28,915151608,243,8015465808
2020-03-19,65,2366772048,18,568025136
2020-03-20,74,2619227664,29,1483176744
2020-03-21,70,2745454824,21,1293835032
2020-03-22,58,1895840208,86,2997915624
2020-03-23,84,2737565586,28,899373132
2020-03-24,51,2051207064,22,820482048
2020-03-25,57,1924974072,104,3849948144
2020-03-26,39,2240547480,47,3629049480
2020-03-27,49,1956531672,83,5333124888
2020-03-28,69,4007734848,194,17230095792
2020-03-29,56,1988088624,113,5017555368
2020-03-30,44,1924975368,43,1388505888
2020-03-31,47,2556115056,48,2114315784
2020-04-01,55,2145873384,65,2650783968
2020-04-02,74,4828213656,189,15999374664
2020-04-03,90,4133963952,130,9435528648
2020-04-04,64,2745454824,124,5112226224
2020-04-05,55,2871684576,139,10350680256
2020-04-06,68,3313479960,55,3944619000
2020-04-07,60,2369364049,166,5617137456
